latitude,longitude,altitude,geometry,report_num,date,crime_class,crime,location,address,city,state,status
39.1722345,-86.5206385,,Point,153345,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,HODGE HALL (BUSINESS BUILDING),na,Bloomington,Indiana,INACTIVE
39.1792728,-86.5154913,,Point,153344,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,IUPD STATION,na,Bloomington,Indiana,
39.164869,-86.509405,,Point,153336,December,Traffic,TRAFFIC ACCIDENTS -HIT & RUN PROPERTY DAMAGE ONLY,UNION STREET/SOUTH OF 10TH,na,Bloomington,Indiana,CLOSED
39.1720603,-86.515407,,Point,153318,December,Traffic,TRAFFIC ACCIDENTS -HIT & RUN PROPERTY DAMAGE ONLY,JORDAN AVENUE/SOUTH OF 10,na,Bloomington,Indiana,INACTIVE
39.171006,-86.516805,,Point,153304,December,Traffic,TRAFFIC ACCIDENTS -HIT & RUN PROPERTY DAMAGE ONLY,WELLS LIBRARY,na,Bloomington,Indiana,INACTIVE
39.171934,-86.518977,,Point,153247,November,Traffic,DRIVING WHILE SUSPENDED,FEE LANE/NORTH OF 10TH ST,na,Bloomington,Indiana,CLOSED
39.1720603,-86.515407,,Point,153216,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/NORTH OF 10,na,Bloomington,Indiana,
39.182084,-86.511311,,Point,153172,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,THETA CHI,na,Bloomington,Indiana,
39.169936,-86.521078,,Point,153168,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,WOODLAWN FIELD-SE OF 10TH & WOODLAWN,na,Bloomington,Indiana,
39.17166,-86.526971,,Point,153157,November,Traffic,TRAFFIC ACCIDENTS - PERSONAL INJURY,INDIANA AVENUE/NORTH OF 1OTH STR,na,Bloomington,Indiana,CLOSED
39.158559,-86.522636,,Point,153154,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,WOODLAWN AVENUE/SOUTH OF,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,153131,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/SOUTH OF 10,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,153128,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/NORTH OF 10,na,Bloomington,Indiana,
39.1674562,-86.5257541,,Point,153127,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,INDIANA MEMORIAL UNION,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,153084,November,Traffic,TRAFFIC ACCIDENTS - HIT & RUN PERSONAL INJURY,JORDAN AVENUE/SOUTH OF 10,na,Bloomington,Indiana,INACTIVE
39.1720603,-86.515407,,Point,153076,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/SOUTH OF 10,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,153075,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/NORTH OF 10,na,Bloomington,Indiana,
39.171764,-86.5282,,Point,153070,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,DUNN STREET/NORTH OF 10TH,na,Bloomington,Indiana,
39.176406,-86.520291,,Point,153012,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MCNUTT QUAD BACK LOT,na,Bloomington,Indiana,
39.164613,-86.524616,,Point,152990,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,SWAIN HALL (E & W),na,Bloomington,Indiana,
39.173031,-86.513655,,Point,152957,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,LAW LANE/EAST OF JORDAN AVE,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,152900,October,Traffic,TRAFFIC ACCIDENTS - PERSONAL INJURY,JORDAN AVENUE/NORTH OF 10,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,152890,October,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/NORTH OF 10,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,152878,October,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/SOUTH OF 10,na,Bloomington,Indiana,
39.1774918,-86.5088733,,Point,152876,October,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,REDBUD E 100-800,na,Bloomington,Indiana,
39.171934,-86.518977,,Point,152853,October,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,FEE LANE/NORTH OF 10TH ST,na,Bloomington,Indiana,
