report_num,date,crime,location,address,city,state,lat,long,status
143533,12/11/14 0:00,THEFT FROM BUILDINGS,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
143500,12/9/14 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143489,12/8/14 0:00,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,
143479,12/7/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143462,12/6/14 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed No Arrest
143450,12/5/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143448,12/4/14 0:00,VANDALISM MISCHIEF,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
143436,12/4/14 0:00,FRAUD,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
143399,12/1/14 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed No Arrest
143397,11/30/14 0:00,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,
143344,11/20/14 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143309,11/18/14 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
143306,11/18/14 0:00,HARASSMENT/INTIMIDATION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
143290,11/17/14 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143277,11/15/14 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143253,11/14/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143243,11/13/14 0:00,VANDALISM MISCHIEF,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
143232,11/12/14 0:00,THEFT FROM BUILDINGS,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
143091,11/2/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed No Arrest
143090,11/2/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143062,11/1/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
143044,10/31/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed No Arrest
143006,10/28/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
142974,10/25/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
142973,10/25/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
142969,10/25/14 0:00,SUICIDE ATTEMPTS,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed No Arrest
142953,10/24/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed No Arrest
142940,10/23/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
142919,10/21/14 0:00,THEFT-BICYCLES,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
142889,10/19/14 0:00,HARASSMENT/INTIMIDATION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed No Arrest
142861,10/18/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
142757,10/8/14 0:00,THEFT FROM BUILDINGS,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
142700,10/4/14 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
