report_num,date,crime,location,address,city,state,lat,long,status
132712,10/6/13 0:00,DEATH - ACCIDENTAL,MCNUTT QUAD, ,Bloomington,Indiana,,,Closed No Arrest
132853,10/18/13 0:00,DISORDERLY CONDUCT,ALL OTHER OPEN AREAS, ,Bloomington,Indiana,,,INACTIVE
133306,11/19/13 0:00,DISTURBANCES - OTHER,WILLKIE COMMON AREA, ,Bloomington,Indiana,,,INACTIVE
133160,11/9/13 0:00,DISTURBANCES - OTHER,LEWIS BUILDING, ,Bloomington,Indiana,,,Closed No Arrest
133158,11/8/13 0:00,DISTURBANCES - OTHER,SIGMA PI, ,Bloomington,Indiana,,,Closed No Arrest
133088,11/3/13 0:00,DISTURBANCES - OTHER,TAU KAPPA EPSILON, ,Bloomington,Indiana,,,Closed No Arrest
133014,10/31/13 0:00,DISTURBANCES - OTHER,LAW SCHOOL, ,Bloomington,Indiana,,,INACTIVE
132809,10/15/13 0:00,DISTURBANCES - OTHER,USA BEECH HALL, ,Bloomington,Indiana,,,Closed No Arrest
132795,10/13/13 0:00,DISTURBANCES - OTHER,NEAL MARSHALL CENTER, ,Bloomington,Indiana,,,Closed No Arrest
133271,11/16/13 0:00,DOMESTIC DISTURBANCES,TENNIS PAVILION, ,Bloomington,Indiana,,,Closed No Arrest
133279,11/17/13 0:00,DRIVING UNDER THE INFLUENCE,INDIANA AVENUE/SOUTH OF 1OTH STR, ,Bloomington,Indiana,,,Closed By Arrest
133251,11/15/13 0:00,DRIVING UNDER THE INFLUENCE,INDIANA AVENUE/SOUTH OF 1OTH STR, ,Bloomington,Indiana,,,Closed By Arrest
133233,11/14/13 0:00,DRIVING UNDER THE INFLUENCE,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
133094,11/3/13 0:00,DRIVING UNDER THE INFLUENCE,3RD STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,Closed By Arrest
132731,10/7/13 0:00,DRIVING UNDER THE INFLUENCE,8TH STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,Closed By Arrest
132695,10/5/13 0:00,DRIVING UNDER THE INFLUENCE,ATHLETIC/RED LOT, ,Bloomington,Indiana,,,Closed By Arrest
132580,9/28/13 0:00,DRIVING UNDER THE INFLUENCE,FEE LANE/NORTH OF 10TH ST, ,Bloomington,Indiana,,,Closed By Arrest
132458,9/19/13 0:00,DRIVING UNDER THE INFLUENCE,DUNN STREET/SOUTH OF 10TH, ,Bloomington,Indiana,,,Closed By Arrest
133396,11/30/13 0:00,DRIVING WHILE SUSPENDED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
133366,11/23/13 0:00,DRIVING WHILE SUSPENDED,46 BYPASS/WEST OF GOLF CO, ,Bloomington,Indiana,,,Closed By Arrest
133337,11/21/13 0:00,DRIVING WHILE SUSPENDED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
133200,11/11/13 0:00,DRIVING WHILE SUSPENDED,DUNN STREET/NORTH OF 10TH, ,Bloomington,Indiana,,,Closed By Arrest
133157,2/24/13 0:00,DRIVING WHILE SUSPENDED,READ CENTER COMMON AREA, ,Bloomington,Indiana,,,Closed By Arrest
133099,11/3/13 0:00,DRIVING WHILE SUSPENDED,46 BYPASS/EAST OF GOLF CO, ,Bloomington,Indiana,,,Closed By Arrest
133065,11/2/13 0:00,DRIVING WHILE SUSPENDED,46 BYPASS/EAST OF GOLF CO, ,Bloomington,Indiana,,,Closed By Arrest
132987,10/30/13 0:00,DRIVING WHILE SUSPENDED,INDIANA MEMORIAL UNION, ,Bloomington,Indiana,,,Closed By Arrest
132914,10/24/13 0:00,DRIVING WHILE SUSPENDED,10TH STREET/EAST OF JORDA, ,Bloomington,Indiana,,,Closed By Arrest
132824,10/16/13 0:00,DRIVING WHILE SUSPENDED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
132776,10/11/13 0:00,DRIVING WHILE SUSPENDED,17TH STREET/EAST OF JORDAN, ,Bloomington,Indiana,,,Closed By Arrest
132587,9/28/13 0:00,DRIVING WHILE SUSPENDED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
132472,9/20/13 0:00,DRIVING WHILE SUSPENDED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
132430,9/15/13 0:00,DRIVING WHILE SUSPENDED,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
133096,11/3/13 0:00,FORCIBLE FONDLING,WRIGHT QUAD, ,Bloomington,Indiana,,,CLOSED
132755,10/9/13 0:00,FORCIBLE FONDLING,COLLINS EDMONDSON, ,Bloomington,Indiana,,,Closed No Arrest
133146,11/8/13 0:00,FORGERY/COUNTERFEITING,HPER -SCHOOL OF PUBLIC HEALTH, ,Bloomington,Indiana,,,INACTIVE
133405,12/1/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133385,11/30/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133321,11/20/13 0:00,FRAUD,ALL OTHER LOCATIONS OUT OF BLTGN, ,Bloomington,Indiana,,,INACTIVE
133298,11/18/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133255,11/15/13 0:00,FRAUD,ALL OTHER LOCATIONS OUT OF BLTGN, ,Bloomington,Indiana,,,INACTIVE
133253,11/15/13 0:00,FRAUD,UNKNOWN/DOES NOT APPLY, ,Bloomington,Indiana,,,INACTIVE
133246,11/14/13 0:00,FRAUD,ALL OTHER CAMPUS BUILDING, ,Bloomington,Indiana,,,INACTIVE
133244,11/14/13 0:00,FRAUD,3RD STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,INACTIVE
133243,11/14/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,ACT/44
133242,11/14/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,ACT/44
133241,11/14/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133240,11/14/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,ACT/44
133216,11/13/13 0:00,FRAUD,ALL OTHER LOCATIONS OUT OF BLTGN, ,Bloomington,Indiana,,,INACTIVE
133185,11/10/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,ACTIVE
133136,11/7/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133069,11/2/13 0:00,FRAUD,FOREST QUAD, ,Bloomington,Indiana,,,INACTIVE
133068,11/2/13 0:00,FRAUD,TETER QUAD, ,Bloomington,Indiana,,,INACTIVE
132974,10/29/13 0:00,FRAUD,ALL OTHER OPEN AREAS, ,Bloomington,Indiana,,,ACTIVE
132972,10/29/13 0:00,FRAUD,INDIANA AVENUE/SOUTH OF 1OTH STR, ,Bloomington,Indiana,,,INACTIVE
132939,10/26/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
132840,10/17/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
132752,10/9/13 0:00,FRAUD,USA CEDAR HALL, ,Bloomington,Indiana,,,ACTIVE
132623,10/1/13 0:00,FRAUD,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,ACT/32
132521,9/23/13 0:00,HABITUAL TRAFFIC VIOLATOR,MATLOCK ROAD/WEST OF JORD, ,Bloomington,Indiana,,,Closed By Arrest
133373,11/26/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER LOCATIONS OUT OF BLTGN, ,Bloomington,Indiana,,,INACTIVE
133367,11/24/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133335,11/21/13 0:00,HARASSMENT/INTIMIDATION,MEMORIAL STADIUM, ,Bloomington,Indiana,,,INACTIVE
133312,11/19/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER CAMPUS BUILDING, ,Bloomington,Indiana,,,Closed No Arrest
133299,11/18/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
133229,11/13/13 0:00,HARASSMENT/INTIMIDATION,Spruce Hall, ,Bloomington,Indiana,,,ACTIVE
133219,11/13/13 0:00,HARASSMENT/INTIMIDATION,CARTER HOUSE, ,Bloomington,Indiana,,,ACT/44
133173,11/9/13 0:00,HARASSMENT/INTIMIDATION,MEMORIAL STADIUM, ,Bloomington,Indiana,,,INACTIVE
133134,11/7/13 0:00,HARASSMENT/INTIMIDATION,JORDAN HALL, ,Bloomington,Indiana,,,ACT/44
133126,11/6/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER CAMPUS BUILDING, ,Bloomington,Indiana,,,INACTIVE
133107,11/4/13 0:00,HARASSMENT/INTIMIDATION,CAMPUS VIEW APTS., ,Bloomington,Indiana,,,INACTIVE
133010,10/31/13 0:00,HARASSMENT/INTIMIDATION,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,INACTIVE
